DDD,3D Systems Corporation,14.53,$1.64B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,,
MMM,3M Company,189.31,$112.87B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,,
WBAI,500.com Limited,12.67,$525.78M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,,
WUBA,58.com Inc.,35.89,$5.19B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,,
AHC,A.H. Belo Corporation,6.25,$135.48M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,,
ATEN,"A10 Networks, Inc.",9.55,$652.71M,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,,
AAC,"AAC Holdings, Inc.",9,$213.36M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,,
AIR,AAR Corp.,34.1,$1.17B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,,
AAN,"Aaron&#39;s,  Inc.",27.96,$2.03B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,,
ABB,ABB Ltd,22.78,$48.66B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,,
ABT,Abbott Laboratories,45.25,$78.19B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,,
ABBV,AbbVie Inc.,63.34,$100.96B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,,
ANF,Abercrombie & Fitch Company,12.24,$828.34M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,,
GCH,"Aberdeen Greater China Fund, Inc.",9.45,$84.72M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gch,,
