Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
DDD,3D Systems Corporation,14.03,$1.59B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,
MMM,3M Company,190.33,$113.47B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,12.78,$530.35M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,37.6,$5.44B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,
AHC,A.H. Belo Corporation,6.25,$135.48M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,
ATEN,"A10 Networks, Inc.",9.02,$616.49M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,
AAC,"AAC Holdings, Inc.",8.64,$204.69M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,
AIR,AAR Corp.,33.29,$1.14B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",28.84,$2.09B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,22.57,$48.21B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,44.8,$77.41B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,65.67,$104.67B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,11.64,$787.74M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,
GCH,"Aberdeen Greater China Fund, Inc.",9.69,$86.87M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.77,$104.5M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq,
